"species","BEs","range_be","class","family","genus","range","year","New","IUCN","elev_class"
"Apostolepis cerradoensis",5,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2003,"n","-","depression"
"Apostolepis christineae",10,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2002,"n","-","depression"
"Apostolepis flavotorquata",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1854,"n","-","general"
"Apostolepis goiasensis",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1942,"n","DD","general"
"Apostolepis intermedia",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1898,"n","-","depression"
"Apostolepis kikoi*",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",2018,"s","-","depression"
"Apostolepis lineata",6,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",1887,"n","-","plateau"
"Apostolepis longicaudata",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1921,"n","-","depression"
"Apostolepis nelsonjorgei",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2004,"n","-","depression"
"Apostolepis phillipsae*",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1999,"s","VU","depression"
"Apostolepis polylepis",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1921,"n","DD","depression"
"Apostolepis sanctaeritae*",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2005,"s","-","general"
"Apostolepis serrana",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",2006,"n","-","depression"
"Apostolepis striata",25,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2004,"n","-","plateau"
"Apostolepis tertulianobeui*",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2004,"s","-","general"
"Apostolepis vittata",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1887,"n","-","depression"
"Arremon flavirostris",4,"partial","Aves","Passerellidae","Arremon","Partial",1838,"s","LC","plateau"
"Asthenes luizae",1,"restricted","Aves","Furnariidae","Asthenes","Restricted",1990,"s","NT","plateau"
"Atractus albuquerquei",0,"noise","Snakes","Dipsadidae","Atractus","Partial",1983,"n","LC","depression"
"Atractus edioi",5,"restricted","Snakes","Dipsadidae","Atractus","Restricted",2005,"n","-","depression"
"Atractus pantostictus*",0,"noise","Snakes","Dipsadidae","Atractus","Partial",1993,"s","-","plateau"
"Atractus spinalis",1,"restricted","Snakes","Dipsadidae","Atractus","Restricted",2013,"n","-","plateau"
"Atractus stygius*",0,"noise","Snakes","Dipsadidae","Atractus","Partial",2019,"s","-","depression"
"Augastes scutatus",1,"restricted","Aves","Trochilidae","Augastes","Restricted",1824,"s","LC","plateau"
"Bachia bresslaui",0,"noise","Lizards","Gymnophthalmidae","Bachia","Partial",1935,"n","VU","general"
"Bachia cacerensis",0,"noise","Lizards","Gymnophthalmidae","Bachia","Restricted",1998,"n","-","depression"
"Bachia didactyla",25,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2011,"n","-","general"
"Bachia geralista",16,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2012,"n","-","plateau"
"Bachia micromela",0,"noise","Lizards","Gymnophthalmidae","Bachia","Restricted",2007,"n","-","depression"
"Bachia oxyrhina",18,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2008,"n","LC","plateau"
"Bachia psamophila",17,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2007,"n","-","depression"
"Barycholos ternetzi",22,"partial","Amphibians","Craugastoridae","Barycholos","Partial",1937,"n","LC","general"
"Boana botumirim",0,"noise","Amphibians","Hylidae","Boana","Restricted",2009,"n","-","plateau"
"Boana buriti",3,"restricted","Amphibians","Hylidae","Boana","Restricted",1999,"n","DD","plateau"
"Boana caiapo*",28,"partial","Amphibians","Hylidae","Boana","Restricted",2018,"s","-","depression"
"Boana cipoensis",1,"restricted","Amphibians","Hylidae","Boana","Restricted",1968,"n","NT","plateau"
"Boana ericae",5,"restricted","Amphibians","Hylidae","Boana","Restricted",2000,"n","DD","plateau"
"Boana goiana",3,"restricted","Amphibians","Hylidae","Boana","Restricted",1968,"n","LC","plateau"
"Boana jaguariaivensis",24,"restricted","Amphibians","Hylidae","Boana","Restricted",2010,"n","-","plateau"
"Boana lundii",13,"partial","Amphibians","Hylidae","Boana","Partial",1856,"n","LC","plateau"
"Boana stenocephala",8,"restricted","Amphibians","Hylidae","Boana","Restricted",1999,"n","DD","plateau"
"Bokermannohyla alvarengai",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1956,"n","LC","plateau"
"Bokermannohyla ibitiguara",8,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1983,"n","DD","plateau"
"Bokermannohyla izecksohni*",0,"noise","Amphibians","Hylidae","Bokermannohyla","Restricted",1979,"s","CR","plateau"
"Bokermannohyla nanuzae",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1973,"n","LC","plateau"
"Bokermannohyla napolii",21,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2012,"n","-","plateau"
"Bokermannohyla pseudopseudis",5,"restricted","Amphibians","Hylidae","Bokermannohyla","Partial",1937,"n","-","plateau"
"Bokermannohyla ravida",0,"noise","Amphibians","Hylidae","Bokermannohyla","Restricted",2001,"n","DD","plateau"
"Bokermannohyla sagarana",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2011,"n","NT","plateau"
"Bokermannohyla sapiranga",3,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2012,"n","-","plateau"
"Bokermannohyla saxicola",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1964,"n","LC","plateau"
"Bokermannohyla sazimai",21,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1982,"n","DD","plateau"
"Bothrops itapetiningae",14,"partial","Snakes","Viperidae","Bothrops","Partial",1907,"n","LC","plateau"
"Bothrops marmoratus",22,"partial","Snakes","Viperidae","Bothrops","Partial",2008,"n","-","general"
"Bothrops moojeni",2,"wide","Snakes","Viperidae","Bothrops","Wide",1866,"n","-","depression"
"Bothrops pauloensis",4,"partial","Snakes","Viperidae","Bothrops","Partial",1925,"n","-","plateau"
"Calassomys apicalis",1,"restricted","Mammals","Cricetidae","Calassomys","Restricted",2014,"s","-","plateau"
"Callithrix penicillata",0,"noise","Mammals","Callithrichidae","Callithrix","Partial",1812,"s","LC","plateau"
"Calomys tocantinsi",15,"partial","Mammals","Cricetidae","Calomys","Partial",2003,"s","LC","depression"
"Carterodon sulcidens",0,"noise","Mammals","Echimyidae","Carterodon","Partial",1838,"s","DD","general"
"Celeus obrieni",26,"partial","Aves","Picidae","Celeus","Restricted",1973,"s","VU","depression"
"Cercomacra ferdinandi",0,"noise","Aves","Thamnophilidae","Cercomacra","Partial",1928,"s","VU","depression"
"Cerradomys akroai",0,"noise","Mammals","Cricetidae","Cerradomys","Restricted",2014,"s","-","general"
"Cerradomys marinhus",0,"noise","Mammals","Cricetidae","Cerradomys","Partial",2003,"s","LC","plateau"
"Cerradomys scotti",0,"noise","Mammals","Cricetidae","Cerradomys","Wide",2002,"s","LC","general"
"Charitospiza eucosma",2,"wide","Aves","Thraupidae","Charitospiza","Wide",1905,"s","NT","general"
"Chiasmocleis albopunctata",2,"wide","Amphibians","Microhylidae","Chiasmocleis","Wide",1885,"n","LC","depression"
"Chiasmocleis centralis",0,"noise","Amphibians","Microhylidae","Chiasmocleis","Partial",1952,"n","DD","depression"
"Chironius brazili*",0,"noise","Snakes","Colubridae","Chironius","Partial",2015,"s","-","plateau"
"Cinclodes espinhacensis",1,"restricted","Aves","Furnariidae","Cinclodes","Restricted",2012,"s","-","plateau"
"Clibanornis rectirostris",4,"partial","Aves","Furnariidae","Clibanornis","Partial",1831,"s","LC","plateau"
"Clyomys laticeps",0,"noise","Mammals","Echimyidae","Clyomys","Partial",1909,"s","LC","general"
"Coleodactylus brachystoma",0,"noise","Lizards","Sphaerodactylidae","Coleodactylus","Partial",1935,"n","-","depression"
"Colobosaura modesta",29,"partial","Lizards","Gymnophthalmidae","Colobosaura","Wide",1862,"n","-","depression"
"Columbina cyanopis",0,"noise","Aves","Columbidae","Columbina","Partial",1870,"s","CR","general"
"Conothraupis mesoleuca",0,"noise","Aves","Thraupidae","Conothraups","Partial",1939,"s","EN","general"
"Coryphaspiza melanotis",13,"partial","Aves","Thraupidae","Coryphaspiza","Partial",1822,"s","VU","plateau"
"Crossodactylus franciscanus*",0,"noise","Amphibians","Hylodidae","Crossodactylus","Restricted",2015,"s","-","plateau"
"Crossodactylus trachystomus",1,"restricted","Amphibians","Hylodidae","Crossodactylus","Restricted",1862,"n","DD","plateau"
"Ctenomys bicolor",0,"noise","Mammals","Ctenomyidae","Ctenomys","Partial",1914,"s","?","depression"
"Ctenomys nattereri",27,"restricted","Mammals","Ctenomyidae","Ctenomys","Partial",1848,"s","LC","depression"
"Cyanocorax cristatellus",2,"wide","Aves","Corvidae","Cyanocorax","Wide",1823,"s","LC","plateau"
"Dendropsophus anataliasiasi",28,"partial","Amphibians","Hylidae","Dendropsophus","Partial",1972,"n","LC","depression"
"Dendropsophus araguaya",12,"restricted","Amphibians","Hylidae","Dendropsophus","Restricted",1998,"n","DD","plateau"
"Dendropsophus cerradensis",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1998,"n","DD","depression"
"Dendropsophus cruzi",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1998,"n","LC","depression"
"Dendropsophus elianeae",4,"partial","Amphibians","Hylidae","Dendropsophus","Partial",2000,"n","LC","general"
"Dendropsophus jimi",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1999,"n","LC","plateau"
"Dendropsophus rhea",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1999,"n","DD","plateau"
"Dendropsophus rubicundulus",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1862,"n","LC","plateau"
"Dendropsophus tritaeniatus",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1965,"n","LC","depression"
"Drymoluber brazili",0,"noise","Snakes","Colubridae","Drymoluber","Wide",1918,"n","-","depression"
"Elachistocleis bumbameuboi",0,"noise","Amphibians","Microhylidae","Elachistocleis","Restricted",2010,"n","DD","depression"
"Elachistocleis matogrosso",23,"partial","Amphibians","Microhylidae","Elachistocleis","Partial",2010,"n","LC","depression"
"Embernagra longicauda",1,"restricted","Aves","Thraupidae","Embernagra","Partial",1844,"s","LC","plateau"
"Enyalius capetinga*",3,"restricted","Lizards","Leiosauridae","Enyalius","Restricted",2018,"s","-","plateau"
"Epicrates crassus",2,"wide","Snakes","Boidae","Epicrates","Wide",1862,"n","-","depression"
"Epictia clinorostris*",0,"noise","Snakes","Leptotyphlopidae","Epictia","Restricted",2010,"s","-","depression"
"Erythrolamprus maryellenae",0,"noise","Snakes","Dipsadidae","Erythrolamprus","Partial",1985,"n","-","plateau"
"Eurolophosaurus nanuzae",1,"restricted","Lizards","Tropiduridae","Eurolophosaurus","Restricted",1981,"n","LC","plateau"
"Euryoryzomys lamia",9,"restricted","Mammals","Cricetidae","Euryoryzomys","Restricted",1901,"s","VU","plateau"
"Euscarthmus rufomarginatus",0,"noise","Aves","Tyrannidae","Euscarthmus","Wide",1868,"s","NT","depression"
"Galea flavidens",0,"noise","Mammals","Caviidae","Galea","Partial",1835,"s","LC","depression"
"Geositta poeciloptera",0,"noise","Aves","Scleruridae","Geositta","Partial",1830,"s","VU","plateau"
"Gyldenstolpia planaltensis",0,"noise","Mammals","Cricetidae","Gyldenstolpia","Restricted",1972,"s","-","plateau"
"Gymnodactylus amarali",0,"noise","Lizards","Phyllodactylidae","Gymnodactylus","Partial",1925,"n","LC","depression"
"Gymnodactylus guttulatus",1,"restricted","Lizards","Phyllodactylidae","Gymnodactylus","Restricted",1982,"n","LC","plateau"
"Helicops boitata*",10,"restricted","Snakes","Dipsadidae","Helicops","Restricted",2019,"s","-","depression"
"Helicops gomesi*",14,"partial","Snakes","Dipsadidae","Helicops","Partial",1921,"s","-","general"
"Helicops phantasma*",0,"noise","Snakes","Dipsadidae","Helicops","Partial",2021,"s","-","depression"
"Herpsilochmus longirostris",2,"wide","Aves","Thamnophilidae","Herpsilochmus","Partial",1868,"s","LC","depression"
"Heterodactylus lundii",0,"noise","Lizards","Gymnophthalmidae","Heterodactylus","Restricted",1862,"n","-","plateau"
"Holochilus sciureus",0,"noise","Mammals","Cricetidae","Holochilus","Partial",1842,"s","?","depression"
"Hoplocercus spinosus",0,"noise","Lizards","Hoplocercidae","Hoplocercus","Partial",1843,"n","-","depression"
"Hydropsalis candicans",0,"noise","Aves","Caprimulgidae","Hydropsalis","Partial",1867,"s","EN","general"
"Hylaeamys acritus",11,"restricted","Mammals","Cricetidae","Hylaeamys","Partial",2005,"s","?","depression"
"Hylodes otavioi",1,"restricted","Amphibians","Hylodidae","Hylodes","Restricted",1983,"n","DD","plateau"
"Ischnocnema penaxavantinho",0,"noise","Amphibians","Brachycephalidae","Ischnocnema","Restricted",2007,"n","DD","plateau"
"Juscelinomys candango",3,"restricted","Mammals","Cricetidae","Juscelinomys","Restricted",1965,"s","EX","plateau"
"Juscelinomys huanchacae",11,"restricted","Mammals","Cricetidae","Juscelinomys","Restricted",1999,"s","DD","depression"
"Kentropyx paulensis",0,"noise","Lizards","Teiidae","Kentropyx","Partial",1893,"n","-","general"
"Kentropyx vanzoi",0,"noise","Lizards","Teiidae","Kentropyx","Partial",1980,"n","-","depression"
"Kerodon acrobata",0,"noise","Mammals","Caviidae","Kerodon","Restricted",1997,"s","DD","general"
"Knipolegus franciscanus",0,"noise","Aves","Tyrannidae","Knipolegus","Partial",1928,"s","LC","plateau"
"Kunsia tomentosus",0,"noise","Mammals","Cricetidae","Kunsia","Partial",1830,"s","LC","depression"
"Laterallus xenopterus",0,"noise","Aves","Rallidae","Laterallus","Partial",1934,"s","VU","plateau"
"Leposternon cerradensis",0,"noise","Lizards","Amphisbaenidae","Leposternon","Restricted",2008,"n","-","plateau"
"Leposternon maximus",7,"restricted","Lizards","Amphisbaenidae","Leposternon","Restricted",2011,"n","-","plateau"
"Leposternon mineiro*",0,"noise","Lizards","Amphisbaenidae","Leposternon","Restricted",2018,"s","-","plateau"
"Leptodactylus brevipes*",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Partial",1887,"s","-","general"
"Leptodactylus camaquara",1,"restricted","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","DD","plateau"
"Leptodactylus cunicularius",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","LC","plateau"
"Leptodactylus furnarius",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Partial",1978,"n","LC","plateau"
"Leptodactylus kilombo*",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Restricted",2020,"s","-","general"
"Leptodactylus pustulatus",28,"partial","Amphibians","Leptodactylidae","Leptodactylus","Partial",1970,"n","LC","depression"
"Leptodactylus sertanejo",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Wide",2007,"n","LC","general"
"Leptodactylus tapiti",5,"restricted","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","DD","plateau"
"Liotyphlops schubarti",0,"noise","Snakes","Anomalepididae","Liotyphlops","Restricted",1948,"n","DD","plateau"
"Liotyphlops taylori*",10,"restricted","Snakes","Anomalepididae","Liotyphlops","Restricted",2018,"s","-","depression"
"Lonchophylla bokermanni",1,"restricted","Mammals","Phyllostomidae","Lonchophylla","Restricted",1978,"s","EN","plateau"
"Lonchophylla dekeyseri",0,"noise","Mammals","Phyllostomidae","Lonchophylla","Partial",1983,"s","EN","general"
"Lycalopex vetulus",2,"wide","Mammals","Canidae","Lycalopex","Wide",1842,"s","VU","general"
"Lygophis paucidens",0,"noise","Snakes","Dipsadidae","Lygophis","Partial",1953,"n","-","depression"
"Lysapsus caraya",15,"partial","Amphibians","Hylidae","Lysapsus","Restricted",1964,"n","LC","depression"
"Manciola guaporicola",0,"noise","Lizards","Scincidae","Maciola","Partial",1935,"n","-","depression"
"Melanopareia torquata",2,"wide","Aves","Melanopareiidae","Melanopareia","Wide",1831,"s","LC","plateau"
"Micrablepharus atticolus",0,"noise","Lizards","Gymnophthalmidae","Micrablepharus","Partial",1996,"n","LC","general"
"Microakodontomys transitorius",3,"restricted","Mammals","Cricetidae","Microakodontomys","Restricted",1993,"s","EN","plateau"
"Micrurus brasiliensis",0,"noise","Snakes","Elapidae","Micrurus","Partial",1967,"n","-","depression"
"Micrurus tricolor",23,"partial","Snakes","Elapidae","Micrurus","Partial",1956,"n","-","depression"
"Monodelphis kunsi",0,"noise","Mammals","Didelphidae","Monodelphis","Partial",1975,"s","LC","depression"
"Monodelphis sanctaerosae",6,"restricted","Mammals","Didelphidae","Monodelphis","Restricted",2012,"s","?","depression"
"Myiothlypis leucophrys",2,"wide","Aves","Parulidae","Myiothlypis","Partial",1868,"s","LC","plateau"
"Neothraupis fasciata",2,"wide","Aves","Thraupidae","Neothraupis","Wide",1823,"s","NT","plateau"
"Nothura minor",4,"partial","Aves","Tinamidae","Nothura","Partial",1825,"s","VU","plateau"
"Nyctiprogne vielliardi",0,"noise","Aves","Caprimulgidae","Nyctiprogne","Restricted",1994,"s","LC","general"
"Nystalus striatipectus",0,"noise","Aves","Bucconidae","Nystalus","Partial",1854,"s","-","depression"
"Odontophrynus cultripes",0,"noise","Amphibians","Odontophrynidae","Odontophrynus","Partial",1862,"n","LC","plateau"
"Odontophrynus juquinha*",1,"restricted","Amphibians","Odontophrynidae","Odontophrynus","Restricted",2017,"s","-","plateau"
"Odontophrynus monachus",8,"restricted","Amphibians","Odontophrynidae","Odontophrynus","Restricted",2012,"n","-","plateau"
"Oecomys cleberi",0,"noise","Mammals","Cricetidae","Oecomys","Partial",1981,"s","DD","general"
"Oligoryzomys moojeni",0,"noise","Mammals","Cricetidae","Oligoryzomys","Partial",2005,"s","DD","general"
"Oligoryzomys rupestris",0,"noise","Mammals","Cricetidae","Oligoryzomys","Partial",2005,"s","DD","plateau"
"Oreobates antrum*",7,"restricted","Amphibians","Craugastoridae","Oreobates","Restricted",2018,"s","-","plateau"
"Oreobates heterodactylus",10,"restricted","Amphibians","Craugastoridae","Oreobates","Restricted",1937,"n","DD","depression"
"Oreobates remotus",0,"noise","Amphibians","Craugastoridae","Oreobates","Restricted",2012,"n","-","plateau"
"Oxymycterus delator",0,"noise","Mammals","Cricetidae","Oxymycterus","Wide",1903,"s","LC","plateau"
"Oxymycterus itapeby",24,"restricted","Mammals","Cricetidae","Oxymycterus","Restricted",2019,"s","-","plateau"
"Paroaria baeri",15,"partial","Aves","Thraupidae","Paroaria","Partial",1907,"s","LC","depression"
"Penelope ochrogaster",0,"noise","Aves","Cracidae","Penelope","Partial",1870,"s","VU","depression"
"Phaethornis nattereri",0,"noise","Aves","Trochilidae","Phaethornis","Partial",1887,"s","LC","depression"
"Phalotris cerradensis*",7,"restricted","Snakes","Dipsadidae","Phalotris","Restricted",2020,"s","-","plateau"
"Phalotris concolor",0,"noise","Snakes","Dipsadidae","Phalotris","Restricted",1994,"n","-","plateau"
"Phalotris labiomaculatus",20,"restricted","Snakes","Dipsadidae","Phalotris","Restricted",2002,"n","-","depression"
"Phalotris lativittatus",14,"partial","Snakes","Dipsadidae","Phalotris","Partial",1994,"n","-","plateau"
"Phalotris matogrossensis",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",2005,"n","-","depression"
"Phalotris mertensi",14,"partial","Snakes","Dipsadidae","Phalotris","Partial",1955,"n","-","plateau"
"Phalotris multipunctatus",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",1994,"n","-","general"
"Phalotris nasutus",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",1915,"n","-","general"
"Phasmahyla jandaia",1,"restricted","Amphibians","Phyllomedusidae","Phasmahyla","Restricted",1978,"n","LC","plateau"
"Philodryas livida",0,"noise","Snakes","Dipsadidae","Philodryas","Partial",1923,"n","VU","plateau"
"Philodryas mattogrossensis",0,"noise","Snakes","Dipsadidae","Philodryas","Partial",1898,"n","-","depression"
"Phyllomyias reiseri",0,"noise","Aves","Tyrannidae","Phyllomyias","Partial",1905,"s","LC","general"
"Phyllomys brasiliensis",1,"restricted","Mammals","Echimyidae","Phyllomys","Restricted",1840,"s","EN","plateau"
"Phyllomys centralis",0,"noise","Mammals","Echimyidae","Phyllomys","Restricted",2018,"s","-","plateau"
"Phylloscartes roquettei",0,"noise","Aves","Rhynchocyclidae","Phylloscartes","Partial",1928,"s","EN","plateau"
"Physalaemus atim*",3,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",2015,"s","-","plateau"
"Physalaemus centralis",2,"wide","Amphibians","Leptodactylidae","Physalaemus","Wide",1962,"n","LC","depression"
"Physalaemus claptoni*",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",2020,"s","-","plateau"
"Physalaemus deimaticus",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",1988,"n","DD","plateau"
"Physalaemus evangelistai",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",1967,"n","DD","plateau"
"Physalaemus marmoratus",0,"noise","Amphibians","Leptodactylidae","Physalaemus","Partial",1862,"n","LC","plateau"
"Physalaemus nattereri",2,"wide","Amphibians","Leptodactylidae","Physalaemus","Wide",1863,"n","LC","depression"
"Pithecopus araguaius*",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",2017,"s","-","depression"
"Pithecopus ayeaye",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",1966,"n","CR","plateau"
"Pithecopus azureus",29,"partial","Amphibians","Phyllomedusidae","Pithecopus","Partial",1862,"n","DD","depression"
"Pithecopus centralis",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",1965,"n","DD","general"
"Pithecopus megacephalus",1,"restricted","Amphibians","Phyllomedusidae","Pithecopus","Restricted",1926,"n","DD","plateau"
"Pithecopus oreades",9,"restricted","Amphibians","Phyllomedusidae","Pithecopus","Partial",2002,"n","DD","plateau"
"Placosoma cipoense",1,"restricted","Lizards","Gymnophthalmidae","Placosoma","Restricted",1966,"n","-","plateau"
"Polystictus superciliaris",1,"restricted","Aves","Tyrannidae","Polystictus","Partial",1831,"s","LC","plateau"
"Poospiza cinerea",13,"partial","Aves","Thraupidae","Poospiza","Partial",1850,"s","LC","plateau"
